Model,vocab_size,embedding_size,sequence_length,hidden_size,num_layers,batch_size,num_epochs,Accuracy,Time
LSTM,10002,50,100,128,1,64,15,82.36,1483.0854439735413
GRU,10002,50,100,128,1,64,15,83.19,1282.537740945816
BI-GRU,10002,50,100,128,1,64,15,82.15,2502.7162642478943
CNN,10002,50,100,100_filters,1,64,15,83.05,975.712866
CNN,10002,50,150,100_filters,1,64,15,85.51,1328.375461
CNN,10002,50,200,100_filters,1,64,15,87.07,1706.744767
CNN (T4 GPU),10002,50,250,100_filters,1,64,15,88.37,1319.6826963424685
CNN (T4 GPU),10002,100,100,100_filters,1,64,15,83.88,802.8933601379395
CNN (T4 GPU),10002,100,200,100_filters,1,64,15,87.42999999999999,1722.7288036346436
CNN (T4 GPU),10002,100,250,100_filters,1,64,15,88.83,2393.435264348984
CNN (T4 GPU),15002,100,250,100_filters,1,64,15,89.07000000000001,2464.030854701996
CNN_GRU (T4 GPU),15002,100,250,"128, 100_filters,",1,64,15,87.47,5230.34245
