Model,Max_features,ngram_range,Accuracy,Time
Logistic Regression,5000,"(1, 1)",88.53,1.610340595245361
Linear Support Vector Classifier,5000,"(1, 1)",87.97,3.810263156890869
Naive Bayes,5000,"(1, 1)",78.21000000000001,9.32771635055542
Light GBM,5000,"(1, 1)",85.87,61.25414633750916
RNN(relu),5000,"(1, 1)",87.15,107.36605906486513
Logistic Regression,5000,"(1, 2)",88.49000000000001,1.1614446640014648
Linear Support Vector Classifier,5000,"(1, 2)",88.32,1.930673360824585
Naive Bayes,5000,"(1, 2)",82.39,10.07140827178955
Light GBM,5000,"(1, 2)",86.07000000000001,62.11400866508484
RNN(relu),5000,"(1, 2)",87.33999999999999,105.50991606712341
Logistic Regression,5000,"(1, 3)",88.51,0.3908557891845703
Linear Support Vector Classifier,5000,"(1, 3)",88.22,1.3473474979400635
Naive Bayes,5000,"(1, 3)",82.46,7.364809513092041
Light GBM,5000,"(1, 3)",86.13,56.47659111022949
Logistic Regression,10000,"(1, 2)",89.19,1.353773832321167
Linear Support Vector Classifier,10000,"(1, 2)",88.94,2.061418056488037
Naive Bayes,10000,"(1, 2)",83.06,21.44578242301941
Light GBM,10000,"(1, 2)",86.05000000000001,80.05792260169983
